price,bedrooms,bathrooms,sqft_living,sqft_lot
221900,3,1,1180,5650
538000,3,2.25,2570,7242
180000,2,1,770,10000
604000,4,3,1960,5000
510000,3,2,1680,8080
1.225E+06,4,4.5,5420,101930
257500,3,2.25,1715,6819
291850,3,1.5,1060,9711
229500,3,1,1780,7470
323000,3,2.5,1890,6560
662500,3,2.5,3560,9796
468000,2,1,1160,6000
310000,3,1,1430,19901
400000,3,1.75,1370,9680
530000,5,2,1810,4850
650000,4,3,2950,5000
395000,3,2,1890,14040
485000,4,1,1600,4300
189000,2,1,1200,9850
230000,3,1,1250,9774
385000,4,1.75,1620,4980
2.00E+06,3,2.75,3050,44867
285000,5,2.5,2270,6300
252700,2,1.5,1070,9643
329000,3,2.25,2450,6500
233000,3,2,1710,4697
937000,3,1.75,2450,2691
667000,3,1,1400,1581
438000,3,1.75,1520,6380
719000,4,2.5,2570,7173
580500,3,2.5,2320,3980
280000,2,1.5,1190,1265
687500,4,1.75,2330,5000
535000,3,1,1090,3000
322500,4,2.75,2060,6659
696000,3,2.5,2300,3060
550000,4,1,1660,34848
640000,4,2,2360,6000
240000,4,1,1220,8075
605000,4,2.5,2620,7553
625000,4,2.5,2570,5520
775000,4,2.25,4220,24186
861990,5,2.75,3595,5639
685000,3,1,1570,2280
309000,3,1,1280,9656
488000,3,2.5,3160,13603
210490,3,1,990,8528
785000,4,2.5,2290,13416
450000,3,1.75,1250,5963
1.35E+06,3,2.5,2753,65005
228000,3,1,1190,9199
345000,5,2.5,3150,9134
600000,3,1.75,1410,4080
585000,2,1.75,1980,8550
920000,5,2.25,2730,6000
885000,4,2.5,2830,5000
292500,4,2.5,2250,4495
301000,3,2.5,2420,4750
951000,5,3.25,3250,14342
430000,4,3,1850,9976
650000,3,2.25,2150,21235
289000,3,1.75,1260,8400
505000,3,1.75,2519,8690
549000,3,1.75,1540,1044
425000,3,2.25,1660,6000
317625,3,2.75,2770,3809
975000,4,2.5,2720,11049
287000,4,2.5,2240,4648
204000,3,1,1000,12070
1.325E+06,5,2.25,3200,20158
1.04E+06,5,3.25,4770,50094
325000,3,2,1260,5612
571000,4,2,2750,7807
360000,4,2.5,2380,5000
349000,3,1.75,1790,50529
832500,4,4,3430,35102
380000,4,1.75,1760,7300
480000,3,1,1040,5060
410000,3,1,1410,5060
720000,4,2.5,3450,39683
390000,3,2.5,2350,5100
360000,4,2.5,1900,5889
355000,2,1,2020,6720
356000,3,1.5,1680,8712
315000,3,1,960,6634
940000,3,1.5,2140,3600
305000,5,2.25,2660,8400
461000,3,3.25,2770,6278
215000,2,2.25,1610,2040
335000,2,1.75,1030,1066
243500,4,2.5,1980,7403
1.09988E+06,5,2.75,3520,6353
153000,3,1,1200,10500
430000,3,1.5,1580,5000
700000,3,1.5,1580,5000
905000,4,2.5,3300,10250
247500,3,1.75,1960,15681
199000,4,1.5,1160,6400
314000,3,1.75,1810,41800
437500,3,2.5,2320,36847